"genus","species","taxon"
"Vorticella","Vorticella ampulla","Ciliophora"
"Ascobius","Ascobius lentus","Ciliophora"
"Folliculina","Folliculina moebiusi","Ciliophora"
"Folliculina","Folliculina gigantea","Ciliophora"
"Frontonia","Frontonia algivora","Ciliophora"
"Frontonia","Frontonia arenaria","Ciliophora"
"Frontonia","Frontonia atra","Ciliophora"
"Ophryoglena","Ophryoglena atra","Ciliophora"
"Frontonia","Frontonia elliptica","Ciliophora"
"Frontonia","Frontonia fusca","Ciliophora"
"Frontonia","Frontonia leucas","Ciliophora"
"Bursaria","Bursaria leucas","Ciliophora"
"Frontonia","Frontonia vermalis","Ciliophora"
"Ophryoglena","Ophryoglena magna","Ciliophora"
"Ophryoglena","Ophryoglena vorax","Ciliophora"
"Plagiopyla","Plagiopyla hatchi","Ciliophora"
"Frontonia","Frontonia macrostoma","Ciliophora"
"Frontonia","Frontonia marina","Ciliophora"
"Frontonia","Frontonia leucas f. marina","Ciliophora"
"Frontonia","Frontonia microstoma","Ciliophora"
"Frontonia","Frontonia nigricans","Ciliophora"
"Frontonia","Frontonia pallida","Ciliophora"
"Frontonia","Frontonia vacuolata","Ciliophora"
"Gastrostyla","Gastrostyla pulchra","Ciliophora"
"Holosticha","Holosticha coronata","Ciliophora"
"Keronopsis","Keronopsis coronata","Ciliophora"
"Geleia","Geleia decolor","Ciliophora"
"Geleia","Geleia fossata","Ciliophora"
"Geleia","Geleia nigriceps","Ciliophora"
"Geleia","Geleia orbis","Ciliophora"
"Parduczia","Parduczia orbis","Ciliophora"
"Glaucoma","Glaucoma scintillans","Ciliophora"
"Gruberia","Gruberia sp","Ciliophora"
"Gruberia","Gruberia lanceolata","Ciliophora"
"Gruberia","Gruberia uninucleata","Ciliophora"
"Gymnozoon","Gymnozoon viviparum","Ciliophora"
"Halteria","Halteria grandinella","Ciliophora"
"Halteria","Halteria chlorelligera f. grandinelloides","Ciliophora"
"Trichoda","Trichoda grandinella","Ciliophora"
"Trichoda","Trichoda grandinella","Ciliophora"
"Haplocaulus","Haplocaulus furcellariae","Ciliophora"
"Haplocaulus","Haplocaulus nicoleae","Ciliophora"
"Hartmannula","Hartmannula acrobates","Ciliophora"
"Hartmannula","Hartmannula entzi","Ciliophora"
"Helicoprorodon","Helicoprorodon gigas","Ciliophora"
"Helicoprorodon","Helicoprorodon minutus","Ciliophora"
"Helicostoma","Helicostoma buddenbrocki","Ciliophora"
"Helicostoma","Helicostoma notatum","Ciliophora"
"Helicostoma","Helicostoma oblongum","Ciliophora"
"Helicostomella","Helicostomella edentata","Ciliophora"
"Helicostomella","Helicostomella kiliensis","Ciliophora"
"Helicostomella","Helicostomella subulata","Ciliophora"
"Amphorella","Amphorella subulata","Ciliophora"
"Tintinnus","Tintinnus subulatus","Ciliophora"
"Tintinnus","Tintinnus ussowi","Ciliophora"
"Helicostomella","Helicostomella subulata f. kiliensis","Ciliophora"
"Heliochona","Heliochona scheuteni","Ciliophora"
"Heliochona","Heliochona sessilis","Ciliophora"
"Heminotus","Heminotus caudatus","Ciliophora"
"Hemiophrys","Hemiophrys sp","Ciliophora"
"Hemiophrys","Hemiophrys agilis","Ciliophora"
"Amphileptus","Amphileptus agilis","Ciliophora"
"Hemiophrys","Hemiophrys filum","Ciliophora"
"Amphileptus","Amphileptus filum","Ciliophora"
"Hemiophrys","Hemiophrys fusidens","Ciliophora"
"Hemiophrys","Hemiophrys marina","Ciliophora"
"Amphileptus","Amphileptus marinus","Ciliophora"
"Hemiophrys","Hemiophrys rotunda","Ciliophora"
"Lionotus","Lionotus lamella f. rotundus","Ciliophora"
"Hippocomos","Hippocomos loricatus","Ciliophora"
"Histiobalantium","Histiobalantium majus","Ciliophora"
"Histiobalantium","Histiobalantium marinum","Ciliophora"
"Histiobalantium","Histiobalantium natans","Ciliophora"
"Pleuronema","Pleuronema inflatum","Ciliophora"
"Histriculus","Histriculus similis","Ciliophora"
"Stylonychia","Stylonychia similis","Ciliophora"
"Histriculus","Histriculus vorax","Ciliophora"
"Histrio","Histrio vorax","Ciliophora"
"Holophrya","Holophrya sp","Ciliophora"
"Holophrya","Holophrya biconica","Ciliophora"
"Holophrya","Holophrya coronata","Ciliophora"
"Trachelocerca","Trachelocerca coronata","Ciliophora"
"Holophrya","Holophrya lemani","Ciliophora"
"Prorodon","Prorodon teres f. lemani","Ciliophora"
"Holophrya","Holophrya nigricans","Ciliophora"
"Holophrya","Holophrya simplex","Ciliophora"
"Holophrya","Holophrya sulcata","Ciliophora"
"Holophrya","Holophrya tarda","Ciliophora"
"Holosticha","Holosticha brevis","Ciliophora"
"Keronopsis","Keronopsis longicirrata","Ciliophora"
"Holosticha","Holosticha rostrata","Ciliophora"
"Holosticha","Holosticha diademata","Ciliophora"
"Amphisia","Amphisia diademata","Ciliophora"
"Amphisiella","Amphisiella thiophaga","Ciliophora"
"Holosticha","Holosticha teredorum","Ciliophora"
"Holosticha","Holosticha thiophaga","Ciliophora"
"Holosticha","Holosticha milnei","Ciliophora"
"Holosticha","Holosticha teredorum","Ciliophora"
"Holosticha","Holosticha coronata","Ciliophora"
"Holosticha","Holosticha kessleri","Ciliophora"
"Oxytricha","Oxytricha kessleri","Ciliophora"
"Holosticha","Holosticha pullaster","Ciliophora"
"Holosticha","Holosticha danubialis","Ciliophora"
